(node:36723) ExperimentalWarning: localStorage is not available because --localstorage-file was not provided.
(Use `node --trace-warnings ...` to show where the warning was created)
{"wave":0,"hp":100,"maxHp":100,"level":1,"gold":0,"threats":0,"worksHp":0,"works":{},"needsRider":false,"failures":[]}
{"wave":1,"hp":100,"maxHp":100,"level":1,"gold":30,"threats":8,"worksHp":0,"works":{},"needsRider":false,"failures":[]}
{"wave":2,"hp":96.80000000000001,"maxHp":100,"level":2,"gold":40,"threats":9,"worksHp":50,"works":{"turret":1},"needsRider":false,"failures":[]}
{"wave":3,"hp":96.80000000000001,"maxHp":100,"level":2,"gold":70,"threats":9,"worksHp":50,"works":{"turret":1},"needsRider":false,"failures":[]}
{"wave":4,"hp":96.80000000000001,"maxHp":100,"level":2,"gold":30,"threats":12,"worksHp":100,"works":{"turret":2},"needsRider":false,"failures":[]}
{"wave":5,"hp":146.8,"maxHp":150,"level":4,"gold":90,"threats":12,"worksHp":100,"works":{"turret":2},"needsRider":false,"failures":[]}
{"wave":6,"hp":171.8,"maxHp":175,"level":6,"gold":65,"threats":16,"worksHp":150,"works":{"turret":3},"needsRider":false,"failures":[]}
{"wave":7,"hp":171.8,"maxHp":175,"level":8,"gold":145,"threats":16,"worksHp":150,"works":{"turret":3},"needsRider":false,"failures":[]}
{"wave":8,"hp":171.8,"maxHp":175,"level":10,"gold":40,"threats":17,"worksHp":320,"works":{"sentry_beacon":2,"turret":4},"needsRider":false,"failures":[]}
{"wave":9,"hp":171.8,"maxHp":175,"level":12,"gold":75,"threats":22,"worksHp":378,"works":{"sentry_beacon":3,"turret":4},"needsRider":false,"failures":[]}
{"wave":10,"hp":171.8,"maxHp":175,"level":14,"gold":65,"threats":22,"worksHp":506,"works":{"sentry_beacon":5,"turret":4},"needsRider":false,"failures":[]}
{"wave":11,"hp":171.8,"maxHp":175,"level":15,"gold":50,"threats":25,"worksHp":576,"works":{"sentry_beacon":6,"turret":4},"needsRider":false,"failures":[]}
{"wave":11,"hp":171.8,"maxHp":175,"level":16,"gold":10,"threats":27,"worksHp":1000,"works":{"sentry_beacon":6,"palisade":4,"turret":4},"needsRider":true,"failures":[]}
{"wave":11,"hp":171.8,"maxHp":175,"level":16,"gold":0,"threats":27,"worksHp":1100,"works":{"sentry_beacon":6,"palisade":5,"turret":4},"needsRider":true,"failures":[]}
{"wave":11,"hp":171.8,"maxHp":175,"level":16,"gold":0,"threats":26,"worksHp":1092,"works":{"sentry_beacon":6,"palisade":5,"turret":4},"needsRider":true,"failures":[]}
{"wave":11,"hp":171.8,"maxHp":175,"level":16,"gold":0,"threats":24,"worksHp":1084,"works":{"sentry_beacon":6,"palisade":5,"turret":4},"needsRider":true,"failures":[]}
{"wave":11,"hp":171.8,"maxHp":175,"level":16,"gold":0,"threats":23,"worksHp":1076,"works":{"sentry_beacon":6,"palisade":5,"turret":4},"needsRider":true,"failures":[]}
{"wave":11,"hp":171.8,"maxHp":175,"level":16,"gold":0,"threats":22,"worksHp":1068,"works":{"sentry_beacon":6,"palisade":5,"turret":4},"needsRider":true,"failures":[]}
{"wave":11,"hp":171.8,"maxHp":175,"level":16,"gold":0,"threats":19,"worksHp":1060,"works":{"sentry_beacon":6,"palisade":5,"turret":4},"needsRider":true,"failures":[]}
{"wave":11,"hp":171.8,"maxHp":175,"level":16,"gold":0,"threats":17,"worksHp":1052,"works":{"sentry_beacon":6,"palisade":5,"turret":4},"needsRider":true,"failures":[]}
{"wave":11,"hp":171.8,"maxHp":175,"level":16,"gold":0,"threats":17,"worksHp":1052,"works":{"sentry_beacon":6,"palisade":5,"turret":4},"needsRider":true,"failures":["FAILED: REPAIR_UNDER action was rejected."]}
{"wave":11,"hp":171.8,"maxHp":175,"level":16,"gold":0,"threats":14,"worksHp":1044,"works":{"sentry_beacon":6,"palisade":5,"turret":4},"needsRider":true,"failures":["FAILED: REPAIR_UNDER action was rejected."]}
{"wave":11,"hp":171.8,"maxHp":175,"level":16,"gold":0,"threats":14,"worksHp":1036,"works":{"sentry_beacon":6,"palisade":5,"turret":4},"needsRider":true,"failures":["FAILED: REPAIR_UNDER action was rejected."]}
{"wave":11,"hp":171.8,"maxHp":175,"level":16,"gold":0,"threats":11,"worksHp":1028,"works":{"sentry_beacon":6,"palisade":5,"turret":4},"needsRider":true,"failures":["FAILED: REPAIR_UNDER action was rejected."]}
{"wave":11,"hp":171.8,"maxHp":175,"level":16,"gold":0,"threats":11,"worksHp":1020,"works":{"sentry_beacon":6,"palisade":5,"turret":4},"needsRider":true,"failures":[]}
{"wave":11,"hp":171.8,"maxHp":175,"level":17,"gold":0,"threats":10,"worksHp":1012,"works":{"sentry_beacon":6,"palisade":5,"turret":4},"needsRider":true,"failures":["FAILED: REPAIR_UNDER action was rejected."]}
{"wave":11,"hp":171.8,"maxHp":175,"level":17,"gold":0,"threats":11,"worksHp":1008,"works":{"sentry_beacon":6,"palisade":5,"turret":4},"needsRider":true,"failures":[]}
{"wave":12,"hp":171.8,"maxHp":175,"level":17,"gold":40,"threats":27,"worksHp":1008,"works":{"sentry_beacon":6,"palisade":5,"turret":4},"needsRider":false,"failures":["FAILED: REPAIR_UNDER action was rejected."]}
{"wave":12,"hp":171.8,"maxHp":175,"level":18,"gold":17,"threats":15,"worksHp":1340,"works":{"sentry_beacon":6,"palisade":7,"turret":4},"needsRider":true,"failures":[]}
{"wave":12,"hp":171.8,"maxHp":175,"level":18,"gold":17,"threats":15,"worksHp":1332,"works":{"sentry_beacon":6,"palisade":7,"turret":4},"needsRider":true,"failures":[]}
{"wave":12,"hp":171.8,"maxHp":175,"level":18,"gold":17,"threats":14,"worksHp":1324,"works":{"sentry_beacon":6,"palisade":7,"turret":4},"needsRider":true,"failures":[]}
{"wave":12,"hp":171.8,"maxHp":175,"level":18,"gold":17,"threats":14,"worksHp":1316,"works":{"sentry_beacon":6,"palisade":7,"turret":4},"needsRider":true,"failures":[]}
{"wave":12,"hp":171.8,"maxHp":175,"level":18,"gold":17,"threats":14,"worksHp":1308,"works":{"sentry_beacon":6,"palisade":7,"turret":4},"needsRider":true,"failures":[]}
{"wave":12,"hp":171.8,"maxHp":175,"level":18,"gold":17,"threats":13,"worksHp":1300,"works":{"sentry_beacon":6,"palisade":7,"turret":4},"needsRider":true,"failures":[]}
{"wave":12,"hp":171.8,"maxHp":175,"level":18,"gold":17,"threats":12,"worksHp":1292,"works":{"sentry_beacon":6,"palisade":7,"turret":4},"needsRider":true,"failures":[]}
{"wave":12,"hp":171.8,"maxHp":175,"level":18,"gold":17,"threats":9,"worksHp":1284,"works":{"sentry_beacon":6,"palisade":7,"turret":4},"needsRider":true,"failures":[]}
{"wave":12,"hp":171.8,"maxHp":175,"level":18,"gold":17,"threats":8,"worksHp":1276,"works":{"sentry_beacon":6,"palisade":7,"turret":4},"needsRider":true,"failures":[]}
{"wave":12,"hp":171.8,"maxHp":175,"level":18,"gold":15,"threats":9,"worksHp":1332,"works":{"sentry_beacon":6,"palisade":7,"turret":4},"needsRider":true,"failures":[]}
{"wave":12,"hp":171.8,"maxHp":175,"level":18,"gold":15,"threats":9,"worksHp":1324,"works":{"sentry_beacon":6,"palisade":7,"turret":4},"needsRider":true,"failures":[]}
{"wave":12,"hp":171.8,"maxHp":175,"level":18,"gold":15,"threats":8,"worksHp":1316,"works":{"sentry_beacon":6,"palisade":7,"turret":4},"needsRider":true,"failures":[]}
{"wave":12,"hp":171.8,"maxHp":175,"level":18,"gold":15,"threats":9,"worksHp":1308,"works":{"sentry_beacon":6,"palisade":7,"turret":4},"needsRider":true,"failures":[]}
{"wave":13,"hp":171.8,"maxHp":175,"level":18,"gold":4,"threats":26,"worksHp":1456,"works":{"sentry_beacon":6,"palisade":8,"turret":4},"needsRider":false,"failures":[]}
{"wave":13,"hp":171.8,"maxHp":175,"level":19,"gold":4,"threats":15,"worksHp":1944,"works":{"sentry_beacon":6,"palisade":12,"turret":4},"needsRider":true,"failures":[]}
{"wave":13,"hp":171.8,"maxHp":175,"level":19,"gold":4,"threats":14,"worksHp":1936,"works":{"sentry_beacon":6,"palisade":12,"turret":4},"needsRider":true,"failures":[]}
