
Running 20 tests using 1 worker

[1/20] [desktop-chrome] › e2e/native-proofs/driver.ts:670:5 › e1-baron plays to its secure wave, banks, reloads and returns to the board @slow
[2/20] [desktop-chrome] › e2e/native-proofs/driver.ts:670:5 › e1-twin-banks plays to its secure wave, banks, reloads and returns to the board @slow
[3/20] [desktop-chrome] › e2e/native-proofs/driver.ts:670:5 › e2-incline plays to its secure wave, banks, reloads and returns to the board @slow
[4/20] [desktop-chrome] › e2e/native-proofs/driver.ts:670:5 › e2-pressure-garden plays to its secure wave, banks, reloads and returns to the board @slow
[5/20] [desktop-chrome] › e2e/native-proofs/driver.ts:670:5 › e3-blackout-ridge plays to its secure wave, banks, reloads and returns to the board @slow
[6/20] [desktop-chrome] › e2e/native-proofs/driver.ts:670:5 › e3-canyon-works plays to its secure wave, banks, reloads and returns to the board @slow
[7/20] [desktop-chrome] › e2e/native-proofs/driver.ts:670:5 › e3-fairground plays to its secure wave, banks, reloads and returns to the board @slow
[8/20] [desktop-chrome] › e2e/native-proofs/driver.ts:670:5 › e4-boneyard plays to its secure wave, banks, reloads and returns to the board @slow
[9/20] [desktop-chrome] › e2e/native-proofs/driver.ts:670:5 › e4-dust-flats plays to its secure wave, banks, reloads and returns to the board @slow
[10/20] [desktop-chrome] › e2e/native-proofs/driver.ts:670:5 › e4-gusher-county plays to its secure wave, banks, reloads and returns to the board @slow
[11/20] [mobile-chrome] › e2e/native-proofs/driver.ts:670:5 › e1-baron plays to its secure wave, banks, reloads and returns to the board @slow
[12/20] [mobile-chrome] › e2e/native-proofs/driver.ts:670:5 › e1-twin-banks plays to its secure wave, banks, reloads and returns to the board @slow
[13/20] [mobile-chrome] › e2e/native-proofs/driver.ts:670:5 › e2-incline plays to its secure wave, banks, reloads and returns to the board @slow
[14/20] [mobile-chrome] › e2e/native-proofs/driver.ts:670:5 › e2-pressure-garden plays to its secure wave, banks, reloads and returns to the board @slow
[15/20] [mobile-chrome] › e2e/native-proofs/driver.ts:670:5 › e3-blackout-ridge plays to its secure wave, banks, reloads and returns to the board @slow
[16/20] [mobile-chrome] › e2e/native-proofs/driver.ts:670:5 › e3-canyon-works plays to its secure wave, banks, reloads and returns to the board @slow
[17/20] [mobile-chrome] › e2e/native-proofs/driver.ts:670:5 › e3-fairground plays to its secure wave, banks, reloads and returns to the board @slow
[18/20] [mobile-chrome] › e2e/native-proofs/driver.ts:670:5 › e4-boneyard plays to its secure wave, banks, reloads and returns to the board @slow
[19/20] [mobile-chrome] › e2e/native-proofs/driver.ts:670:5 › e4-dust-flats plays to its secure wave, banks, reloads and returns to the board @slow
[20/20] [mobile-chrome] › e2e/native-proofs/driver.ts:670:5 › e4-gusher-county plays to its secure wave, banks, reloads and returns to the board @slow
  20 skipped
