
Running 28 tests using 1 worker

[1/28] [desktop-chrome] › e2e/native-proofs/driver.ts:768:5 › e1-baron plays to its secure wave, banks, reloads and returns to the board @slow
[2/28] [desktop-chrome] › e2e/native-proofs/driver.ts:768:5 › e1-twin-banks plays to its secure wave, banks, reloads and returns to the board @slow
[3/28] [desktop-chrome] › e2e/native-proofs/driver.ts:768:5 › e2-incline plays to its secure wave, banks, reloads and returns to the board @slow
[4/28] [desktop-chrome] › e2e/native-proofs/driver.ts:768:5 › e2-pressure-garden plays to its secure wave, banks, reloads and returns to the board @slow
[5/28] [desktop-chrome] › e2e/native-proofs/driver.ts:768:5 › e3-blackout-ridge plays to its secure wave, banks, reloads and returns to the board @slow
[6/28] [desktop-chrome] › e2e/native-proofs/driver.ts:768:5 › e3-canyon-works plays to its secure wave, banks, reloads and returns to the board @slow
[7/28] [desktop-chrome] › e2e/native-proofs/driver.ts:768:5 › e3-fairground plays to its secure wave, banks, reloads and returns to the board @slow
[8/28] [desktop-chrome] › e2e/native-proofs/driver.ts:768:5 › e4-boneyard plays to its secure wave, banks, reloads and returns to the board @slow
[9/28] [desktop-chrome] › e2e/native-proofs/driver.ts:768:5 › e4-dust-flats plays to its secure wave, banks, reloads and returns to the board @slow
[10/28] [desktop-chrome] › e2e/native-proofs/driver.ts:768:5 › e4-gusher-county plays to its secure wave, banks, reloads and returns to the board @slow
[11/28] [desktop-chrome] › e2e/native-proofs/driver.ts:768:5 › e8-eclipse plays to its secure wave, banks, reloads and returns to the board @slow
[12/28] [desktop-chrome] › e2e/native-proofs/driver.ts:768:5 › e8-far-side plays to its secure wave, banks, reloads and returns to the board @slow
[13/28] [desktop-chrome] › e2e/native-proofs/driver.ts:768:5 › e8-low-orbit plays to its secure wave, banks, reloads and returns to the board @slow
[14/28] [desktop-chrome] › e2e/native-proofs/driver.ts:768:5 › the-claim plays to its secure wave, banks, reloads and returns to the board @slow
[15/28] [mobile-chrome] › e2e/native-proofs/driver.ts:768:5 › e1-baron plays to its secure wave, banks, reloads and returns to the board @slow
[16/28] [mobile-chrome] › e2e/native-proofs/driver.ts:768:5 › e1-twin-banks plays to its secure wave, banks, reloads and returns to the board @slow
[17/28] [mobile-chrome] › e2e/native-proofs/driver.ts:768:5 › e2-incline plays to its secure wave, banks, reloads and returns to the board @slow
[18/28] [mobile-chrome] › e2e/native-proofs/driver.ts:768:5 › e2-pressure-garden plays to its secure wave, banks, reloads and returns to the board @slow
[19/28] [mobile-chrome] › e2e/native-proofs/driver.ts:768:5 › e3-blackout-ridge plays to its secure wave, banks, reloads and returns to the board @slow
[20/28] [mobile-chrome] › e2e/native-proofs/driver.ts:768:5 › e3-canyon-works plays to its secure wave, banks, reloads and returns to the board @slow
[21/28] [mobile-chrome] › e2e/native-proofs/driver.ts:768:5 › e3-fairground plays to its secure wave, banks, reloads and returns to the board @slow
[22/28] [mobile-chrome] › e2e/native-proofs/driver.ts:768:5 › e4-boneyard plays to its secure wave, banks, reloads and returns to the board @slow
[23/28] [mobile-chrome] › e2e/native-proofs/driver.ts:768:5 › e4-dust-flats plays to its secure wave, banks, reloads and returns to the board @slow
[24/28] [mobile-chrome] › e2e/native-proofs/driver.ts:768:5 › e4-gusher-county plays to its secure wave, banks, reloads and returns to the board @slow
[25/28] [mobile-chrome] › e2e/native-proofs/driver.ts:768:5 › e8-eclipse plays to its secure wave, banks, reloads and returns to the board @slow
[26/28] [mobile-chrome] › e2e/native-proofs/driver.ts:768:5 › e8-far-side plays to its secure wave, banks, reloads and returns to the board @slow
[27/28] [mobile-chrome] › e2e/native-proofs/driver.ts:768:5 › e8-low-orbit plays to its secure wave, banks, reloads and returns to the board @slow
[28/28] [mobile-chrome] › e2e/native-proofs/driver.ts:768:5 › the-claim plays to its secure wave, banks, reloads and returns to the board @slow
  28 skipped
