fixture-teardown-tally: 162 fixture owners (the sweep's subject set), jobs 1, 1005 s
OFFENDERS (children that left a temp dir behind): 1
  scripts/status-line1-future-stamp-scope-guard.test.mjs: 6 [s2677-stamp-7Fs7JY, s2677-stamp-Anbabg, s2677-stamp-DSoyFe, s2677-stamp-Oo7X43, s2677-stamp-VosS6j, s2677-stamp-cdN4r4]
CHILDREN THAT DID NOT EXIT 0 (reported, not scored): 3
  scripts/bench-seeds.test.mjs: rc 1, 1 of 4 failed: rotation registry stays outside the engine identity corpus
  scripts/desk-declaration-guard.test.mjs: rc 1, 1 of 28 failed: the live board is green under this guard (baseline is honest)
  scripts/engine-era-guard.test.mjs: rc 1, 1 of 5 failed: the landed registry names the live engine and stays outside its hash corpus
scratch entries matching no declared prefix: scripts/guard-stats-persistence.test.mjs [node-compile-cache]; scripts/node-guards-contention.test.mjs [node-guards-tap-EPx6pq]; scripts/run-guards.test.mjs [node-compile-cache]; scripts/status-archive-empty-corpus-guard.test.mjs [s2337-blobmiss-TyP9XZ, s2337-clean-kfDf9t, s2337-drop-IZXy8j, s2337-drop-R9QGFJ, s2337-drop-oL4oJY, s2337-rootonly-82Lsh2, s2337-rootonly-XEGGk0, s2337-shim-B93Qoi, s2337-shim-iMKEL3, s2337-untracked-GnVh3M, s2337-untracked-UgEDTT, s2337-untracked-oqbATZ]; scripts/town-spec-collection.test.mjs [node-compile-cache, playwright-transform-cache-501]; scripts/whole-suite-collection.test.mjs [node-compile-cache, playwright-transform-cache-501]
per child: name | rc | tests | survivors | seconds
  scripts/agent-reels.test.mjs | 0 | 1 | 0 | 7
  scripts/anim-pass-gen.test.mjs | 0 | 1 | 0 | 2
  scripts/anim-pass-graft.test.mjs | 0 | 1 | 0 | 1
  scripts/anim-pass-grid.test.mjs | 0 | 1 | 0 | 1
  scripts/anim-pass-montage.test.mjs | 0 | 1 | 0 | 0
  scripts/art-staging-corpus-header-guard.test.mjs | 0 | 7 | 0 | 3
  scripts/art-staging-gitdir-link-guard.test.mjs | 0 | 10 | 0 | 4
  scripts/art-staging-local-only-source-guard.test.mjs | 0 | 6 | 0 | 4
  scripts/assay-replay.test.mjs | 0 | 9 | 0 | 90
  scripts/assay-worker.test.mjs | 0 | 12 | 0 | 3
  scripts/assert-release-build.test.mjs | 0 | 10 | 0 | 0
  scripts/attended-land.test.mjs | 0 | 8 | 0 | 0
  scripts/attended-owed-anchor-tree-guard.test.mjs | 0 | 8 | 0 | 2
  scripts/attended-owed-cross-check-value-guard.test.mjs | 0 | 8 | 0 | 3
  scripts/authorable-candidates.test.mjs | 0 | 15 | 0 | 0
  scripts/authorable-single-read-guard.test.mjs | 0 | 9 | 0 | 0
  scripts/authorable-unpriced-block-guard.test.mjs | 0 | 12 | 0 | 0
  scripts/backlog-split-closed.test.mjs | 0 | 13 | 0 | 1
  scripts/bash-leg-misuse-code-guard.test.mjs | 0 | 4 | 0 | 2
  scripts/battery-manifest-attribution-guard.test.mjs | 0 | 8 | 0 | 1
  scripts/battery-manifest.test.mjs | 0 | 5 | 0 | 1
